order_id,account_id,shop_name,event_name,event_category,first_event,last_event,first_name,last_name,email,ticket_name,barcode,order_status,order_invalidated,order_invalidated_at,ticket_invalidated,ticket_invalidated_at,created_at,paid_currency,order_value,order_fees,transaction_fees,ticket_value,ticket_fees,optionals_value,refunded_amount,payment_method,coupons,device,tracker,tracker_name,seat,is_scanned,first_scanned_at,order_metadata_first_name,order_metadata_last_name,order_metadata_wrong1,order_metadata_wrong2,order_metadata_wrong3,order_metadata_wrong4,order_metadata_wrong5,order_metadata_wrong6,order_metadata_wrong7,order_metadata_wrong8,order_metadata_city,order_metadata_gender,order_metadata_province,order_metadata_company,order_metadata_country,order_metadata_covid_no_symptoms,order_metadata_age,order_metadata_wrong9,order_metadata_wrong10,order_metadata_wrong11,order_metadata_wrong12,order_metadata_wrong13,order_metadata_wrong14,order_ticket_metadata_first_name,order_ticket_metadata_last_name,order_ticket_wrong1,order_ticket_metadata_email,order_ticket_metadata_street,order_ticket_metadata_street_number,order_ticket_metadata_street_number_additional,order_ticket_metadata_postal,order_ticket_metadata_date_of_birth,order_ticket_metadata_state,order_ticket_metadata_city,order_ticket_metadata_gender,order_ticket_metadata_province,order_ticket_metadata_company,order_ticket_metadata_country,order_ticket_metadata_covid_no_symptoms,order_ticket_metadata_age,order_ticket_wrong2,order_ticket_metadata_phone,order_ticket_metadata_fullname,order_ticket_metadata_covid_one_household,order_ticket_metadata_keep_me_informed,order_ticket_metadata_Diet,geolocation_street_name,geolocation_street_number,geolocation_locality,geolocation_postal_code,geolocation_sub_locality,geolocation_admin_level_1,geolocation_admin_level_2,geolocation_country_code,geolocation_latitude,geolocation_longitude,ticket_pdf_link
0501bd02-55ef-4cb7-847b-57a467be8b51,973efd9b-306e-4a30-85ab-ff866b5992c1,Woods-Foster,Edwards-Thompson Meeting,both,2023-06-08,Lewis Bridge,510,Apt. 643,71556,1964-09-10,Nevada,Hannahbury,Female,Minnesota,Jones-Vega,Guam,False,59,talk,191.811.0451x89141,Ashley Rodriguez,False,False,None,Richard Garden,510,East Vanessaborough,96341,Curtismouth,Minnesota,Lindsayland,FR,5.0346065,130.059284,https://brown-walker.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1db9d0b1-897f-4bc4-8caf-51f2cd73b432,cc342fc8-a5ea-4d9e-a939-c27debbfa786,"Fuller, Bates and Holland","Mann, Lopez and Pennington Parade",but,2023-06-06,Cole Via,8633,Apt. 449,80224,1997-02-12,North Carolina,Monicastad,Male,Delaware,Martinez PLC,Nauru,True,65,weight,426-517-8979x6373,Joan Simmons,False,True,Gluten-free,Fisher Overpass,8633,Saraland,75992,South Alexander,Alaska,Roytown,CO,19.4424015,-60.588412,http://reed-gamble.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247d8bce-8b34-413b-9dc4-e376e627c31b,18846861-dbd1-4eb1-b7b5-13ebb90a5032,Hardin-Fernandez,"Valdez, Thomas and Doyle Party",idea,2023-06-06,Gary Burgs,3367,Suite 194,57566,2023-05-12,Indiana,South Josephburgh,Other,Rhode Island,Rodriguez-Wilson,Turkmenistan,True,27,Mrs,(010)715-1052x2417,Steven Williams,True,True,Vegetarian,Shannon Parkway,3367,Perkinsmouth,42478,New Kaylafort,Florida,West Melinda,PG,20.354546,139.945555,http://www.gonzalez.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d791d472-a056-43e8-9300-b393cc53016d,0f10ac44-467b-41ce-83d7-fba12cd740bb,Christensen Group,Sherman-Torres Gathering,read,2023-06-10,Kevin Island,924,Suite 404,15925,1962-06-02,Nebraska,South Heidi,Male,Nevada,Davis Group,Northern Mariana Islands,True,62,build,+1-160-320-2106,Jason Graham,False,False,Gluten-free,Troy Throughway,924,Catherineland,75362,North Micheal,Vermont,East Stephanieshire,PH,-55.3599845,-32.160587,https://williams-arnold.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7ccff4f-6eb0-4b42-ba4c-776f5215037a,18846861-dbd1-4eb1-b7b5-13ebb90a5032,Hardin-Fernandez,"Thomas, Wood and Schwartz Meeting",film,2023-06-04,Williams Lights,77658,Suite 848,64877,1984-12-31,Virginia,New Barbara,Female,Rhode Island,Lopez-Stanley,Qatar,True,81,college,9526312279,Douglas Williams,True,True,Vegetarian,Ross Shoal,77658,North Stephaniemouth,26393,New Amy,Connecticut,Flynnport,IT,56.855496,77.552663,https://davis-myers.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9609fa4-7375-4aff-8b61-a4ae511907dc,4eab9a64-14eb-4612-be62-d8c3a32d43cb,"Adams, Diaz and Cooper",Ford and Sons Parade,turn,2023-06-14,Jason Ways,234,Suite 859,88097,1958-06-19,Florida,South Courtney,Male,Hawaii,"Johnson, Coleman and Odom",Norfolk Island,True,78,fire,(880)788-1418,Joanne Soto,True,False,Paleo,Rodriguez Pass,234,Robinsonfurt,11880,Joannebury,Georgia,North Stephanie,JP,-47.542470,-118.094585,http://www.gallagher.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d3067a7-5f18-467c-981a-bc17ae2c44fd,acaf0138-5a96-42aa-a7dc-a9e0342e9fa4,Jackson-Jones,"Butler, Le and Daniels Gathering",enough,2023-06-01,Moody Islands,281,Apt. 491,01844,1990-10-07,Idaho,West Kenneth,Male,Minnesota,Shaw Group,Haiti,True,90,us,+1-676-928-0172x6950,Stephanie Gamble,True,False,Keto,Durham Green,281,Port Eric,05928,West Cindyshire,Nevada,West Connie,BJ,-40.787550,90.238107,https://brooks.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6842f9d-3425-4167-ab83-776b61f8f167,acaf0138-5a96-42aa-a7dc-a9e0342e9fa4,Jackson-Jones,Robertson Ltd Parade,pressure,2023-06-08,Hamilton Shore,649,Apt. 384,68794,2015-09-28,Montana,Jaimeshire,Other,Montana,Matthews-Mueller,Georgia,True,19,trial,168.270.5917x698,Jennifer Hudson,False,False,Vegan,Hoffman Loop,649,Johnberg,75552,Martinezville,Minnesota,Karinafort,ZA,-17.6450695,132.583663,http://carter-rojas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a4aa8da-eb92-4172-ab57-c50de182b2ae,4eab9a64-14eb-4612-be62-d8c3a32d43cb,"Adams, Diaz and Cooper",Lopez and Sons Meeting,mention,2023-06-01,Sheila Ridges,35213,Apt. 523,97611,1960-09-09,Maryland,East Courtney,Other,New Jersey,Butler-Newton,Jordan,True,100,evening,(711)052-9452,Molly Parks,False,True,Gluten-free,Hill Rapids,35213,West Alexanderbury,36695,Riosborough,West Virginia,West Glennfort,CI,44.409862,131.925255,https://www.trujillo-jackson.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dadbff3-ec61-4696-b171-d760b125898f,4eab9a64-14eb-4612-be62-d8c3a32d43cb,"Adams, Diaz and Cooper","Smith, Jackson and Bell Gathering",sport,2023-06-10,Kevin Track,30748,Suite 823,36172,1975-05-18,Kansas,North Krystalton,Female,Massachusetts,Brown Group,Sao Tome and Principe,True,45,career,+1-109-630-8810x2730,Nicole Cox,True,False,None,Potts Trafficway,30748,Port Tonyport,35894,Port Jasmine,New Mexico,New Kevinstad,DO,-17.1493695,-123.727619,https://www.taylor.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac1cb1bd-8c85-41ca-a127-4335850e1232,cc342fc8-a5ea-4d9e-a939-c27debbfa786,"Fuller, Bates and Holland",Day Inc Gathering,decision,2023-06-03,Mary Village,989,Apt. 139,55760,1945-07-27,Washington,North Lauriemouth,Female,Vermont,Brown Group,Aruba,True,90,north,001-030-435-9518x946,Walter Ross,False,True,Paleo,Wendy Courts,989,East Jessebury,19273,Port Amanda,Utah,Dennisborough,RW,7.9339665,-47.388316,https://www.barker-sloan.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90a6d321-9847-44a9-a473-12c7aa381d82,acaf0138-5a96-42aa-a7dc-a9e0342e9fa4,Jackson-Jones,"Stark, Coleman and Vance Party",scene,2023-06-15,Mckee Lodge,5523,Apt. 710,89159,1936-05-08,North Dakota,West Erica,Male,Tennessee,Hoffman Group,Saint Vincent and the Grenadines,True,94,growth,+1-392-862-7007,Haley Frederick,False,True,Gluten-free,Powers Mount,5523,Andrewfurt,11349,Jamesland,Massachusetts,Leechester,VC,37.3640815,-162.981742,http://wu.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b08dc93f-5680-4f05-81f7-5c3a7a01c27e,973efd9b-306e-4a30-85ab-ff866b5992c1,Woods-Foster,"Hart, Rogers and Osborne Party",far,2023-06-12,Smith Fords,284,Apt. 646,98746,1925-12-08,Indiana,North Josephfurt,Female,Nebraska,Lewis Ltd,India,False,41,remember,+1-489-617-1015x0632,Darlene Williams,True,True,Keto,Campbell Green,284,West Janetborough,92901,Francoport,Arkansas,West William,VN,63.6029735,-48.123102,http://www.white.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafbcdf0-c6de-47f6-b2fc-9e3db6aa8fd3,973efd9b-306e-4a30-85ab-ff866b5992c1,Woods-Foster,White Group Show,do,2023-06-01,Ross Valley,9925,Suite 731,45244,1931-09-09,Maine,Port Sheryl,Female,North Carolina,Butler-Patton,Slovenia,True,71,team,364.738.6074,Carlos Craig,False,False,Keto,Andrew Parkway,9925,Gallegoston,28033,West Jeffrey,Missouri,South Paul,TL,85.318520,-59.907505,http://sexton-franklin.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b27b29a-9262-412e-bddc-5ec7f797b17b,1a21450e-fbce-4f5e-9bf7-486459f79a2f,Morgan-Jefferson,Nash LLC Parade,baby,2023-06-14,Timothy Pines,189,Suite 129,62665,1986-03-22,West Virginia,East Christopherland,Female,Nebraska,Farmer LLC,Italy,True,67,go,872-818-9181x53685,Patricia Medina,False,False,Keto,Silva Hill,189,Lake Matthewshire,46428,South Nancyview,Alaska,North Sherry,CG,38.4227865,-145.257933,http://peters.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33beb163-e2fd-4ad3-bfc6-d019ae211d48,973efd9b-306e-4a30-85ab-ff866b5992c1,Woods-Foster,"Myers, Ford and Reid Meeting",chair,2023-06-17,Danny Park,44923,Suite 036,92607,1978-05-27,Mississippi,East Rodneyview,Male,Rhode Island,Dixon and Sons,United States of America,True,24,next,393-949-3263,John Hoffman,False,False,Keto,Martin Parkway,44923,Justinton,48785,East Thomasview,South Dakota,Paulberg,TJ,24.291727,-106.586881,https://www.mason.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efdb1226-08a7-40ec-b83a-51e29d7cb7d4,4eab9a64-14eb-4612-be62-d8c3a32d43cb,"Adams, Diaz and Cooper","Davis, Fisher and Beard Parade",newspaper,2023-06-14,Justin Viaduct,22644,Suite 910,45972,1911-09-11,Nevada,Davidchester,Female,Missouri,Sanchez-Wagner,Seychelles,True,68,among,001-092-314-8409x69920,Robert Harper,False,False,Keto,Smith Pine,22644,Jaredborough,23656,Lake Nancyfurt,Hawaii,Jamieborough,UA,-53.715214,71.835786,http://www.avila-jenkins.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7893d069-97fa-44cd-9ca2-b417269d1eda,1a21450e-fbce-4f5e-9bf7-486459f79a2f,Morgan-Jefferson,Murphy Group Meeting,policy,2023-06-14,Green Lake,16716,Apt. 652,17434,1964-07-26,New Jersey,Danielchester,Male,Louisiana,"Torres, Garcia and Bell",Mayotte,True,42,drive,976-379-8890x118,Scott Hall,True,False,None,Aguilar Mill,16716,North Lindsayburgh,98227,Port Connie,Alabama,Morganbury,PW,22.7578635,141.338217,https://smith.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcbd1d86-470a-4f72-9358-a60ea51efbc3,03787c6a-6fa9-4358-a3ad-510a3b8c14a3,Combs and Sons,"Vasquez, Porter and Boyle Party",traditional,2023-06-15,Davis Fields,30882,Apt. 929,91638,1967-06-23,Washington,Wallacebury,Other,Wisconsin,"Romero, Roberts and White",Bahrain,False,93,very,3866046001,Jason Cole,False,True,Vegetarian,Zachary Plain,30882,East Mary,23823,Rodriguezville,Arizona,West Sarahmouth,AL,19.1218695,81.719427,https://www.tapia.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0a84853-4a28-41d4-88a6-a9d2bdfb2b69,4eab9a64-14eb-4612-be62-d8c3a32d43cb,"Adams, Diaz and Cooper",Riggs-Gutierrez Concert,weight,2023-06-12,Kevin Glen,13987,Suite 625,64953,1975-03-04,North Carolina,Port Markburgh,Other,South Carolina,Gonzalez PLC,Isle of Man,True,100,information,+1-966-791-2481x44080,Robert Bradshaw,True,False,None,Carolyn River,13987,Parkerhaven,29999,Raybury,South Dakota,West Katiestad,IS,-59.9951805,114.440742,https://ho-paul.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a158312f-95bb-4468-8226-4f78478c24c3,acaf0138-5a96-42aa-a7dc-a9e0342e9fa4,Jackson-Jones,Jackson-Knight Parade,kind,2023-06-09,West Hill,546,Apt. 313,23233,1979-06-11,Tennessee,Lake Elizabeth,Female,Nevada,Adkins Inc,Estonia,False,85,remember,2514218850,James Wade,False,True,Keto,Gates Drive,546,Anthonytown,62632,North Carlafurt,New York,New Mollymouth,CY,-76.2454345,75.498365,http://rogers.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1c56581-e1e1-4d16-9403-69aacac79536,1a21450e-fbce-4f5e-9bf7-486459f79a2f,Morgan-Jefferson,Flores-Costa Party,sound,2023-06-14,Oconnor Vista,9564,Apt. 054,94335,1977-04-18,Alaska,Jamesburgh,Female,Iowa,Murillo-Garcia,Azerbaijan,False,65,born,(829)497-2597x4378,Brandon Bond,True,True,Paleo,Jessica Harbors,9564,North Allenfurt,25515,East Lindafort,Ohio,Jenniferburgh,CL,71.405051,93.986829,http://www.joseph-bailey.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ff5f1c9-fd24-46c3-8dab-a26fb2f7cde1,03787c6a-6fa9-4358-a3ad-510a3b8c14a3,Combs and Sons,"Smith, Andersen and Chase Gathering",American,2023-06-09,Lee View,84830,Apt. 373,01289,1932-03-06,Georgia,South Austin,Other,Oklahoma,Edwards and Sons,New Caledonia,False,34,draw,006.882.8181x240,Timothy Ramsey,True,False,Vegan,Jaime Way,84830,Davistown,64086,Brownville,Iowa,South Victorfort,NP,-87.5888055,-21.405319,http://butler.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea30fe6a-116a-4a0b-944e-edce157e10cd,4eab9a64-14eb-4612-be62-d8c3a32d43cb,"Adams, Diaz and Cooper",Hill-Moreno Concert,several,2023-06-09,John Falls,0704,Apt. 378,34660,2018-02-06,Vermont,Lake Kenneth,Other,Pennsylvania,"Mccoy, Yates and Mcfarland",Sudan,True,62,imagine,+1-752-794-5466,Brandi Smith,True,False,None,Jonathan Village,0704,Leonfort,04593,South Alexfort,Maryland,South Joshuaville,SE,-61.1948435,146.868756,http://kim.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e726a6e-be34-40c6-aa8b-2c1c4e4f6874,18846861-dbd1-4eb1-b7b5-13ebb90a5032,Hardin-Fernandez,Wood-Johnson Meeting,begin,2023-06-16,James View,468,Apt. 270,48293,1962-08-15,South Carolina,South Ashleybury,Male,Wisconsin,Mcpherson-Simmons,Congo,True,86,usually,(206)109-0804,James White,True,False,Vegetarian,Zimmerman Mall,468,Lorichester,57173,Jimenezview,Alaska,South Jeffrey,SN,57.603643,-81.314578,https://www.brown.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fd18f54-00dd-4f6a-b786-815510532b07,0f10ac44-467b-41ce-83d7-fba12cd740bb,Christensen Group,Nash and Sons Gathering,tonight,2023-06-13,Lucas Courts,706,Suite 465,35067,2017-09-10,Tennessee,Cynthiaville,Other,New Jersey,Johnson Inc,Albania,True,94,job,576.487.6181,Carla Cortez,True,True,Vegan,Pamela Plain,706,North Patrickland,83692,Lake Lori,Hawaii,Chaseberg,DM,-13.365789,66.488217,https://grant.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5d75758-19f4-42e4-bc7c-b4381eb22306,1a21450e-fbce-4f5e-9bf7-486459f79a2f,Morgan-Jefferson,Harris-Green Show,close,2023-06-04,Richard Plaza,69838,Apt. 246,05284,1929-01-29,Ohio,New Cody,Other,North Dakota,Wilkerson-Mitchell,Sri Lanka,True,71,action,608-788-9910,Stephen Nielsen,False,False,Vegan,Barnes Centers,69838,West Michaelburgh,65483,South Jasonhaven,North Dakota,Herrerastad,CI,80.0779155,-59.296926,https://www.coleman.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de653b7e-662e-4388-beb1-2a3a94e59012,cc342fc8-a5ea-4d9e-a939-c27debbfa786,"Fuller, Bates and Holland",Saunders-Clark Meeting,outside,2023-06-14,Lowe Mount,662,Apt. 743,90508,2009-01-08,Montana,Lake Leslieville,Male,Louisiana,Lowe and Sons,Myanmar,True,40,family,+1-865-652-4738x83277,Michael Lewis DVM,False,False,Vegetarian,Rios Trace,662,Karenfurt,07849,Davidside,New Jersey,Stephaniehaven,US,49.843180,117.971393,https://brown.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8eadcec5-c957-483c-91b6-950c2b532b0f,cc342fc8-a5ea-4d9e-a939-c27debbfa786,"Fuller, Bates and Holland",Anderson and Sons Parade,only,2023-06-16,Phillips Springs,86728,Suite 547,47262,2007-07-12,New York,North Vickimouth,Male,Arkansas,Williams PLC,Vanuatu,False,48,institution,(617)275-9482x167,Charles Olsen,False,True,Gluten-free,Santos Lakes,86728,Mccarthyview,34244,Williamtown,Delaware,North Kristenberg,CM,11.610473,76.200367,https://powell.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57959ab2-f469-4d01-bee3-df795de21981,18846861-dbd1-4eb1-b7b5-13ebb90a5032,Hardin-Fernandez,Willis Group Meeting,put,2023-06-02,Meghan Square,6670,Suite 564,64979,1958-09-26,West Virginia,South Reneeside,Female,Connecticut,Fisher-Smith,Costa Rica,False,61,everyone,745-547-1970,Allen Jensen,True,False,Keto,Navarro River,6670,North Devin,44284,Lake Teresa,Kentucky,Lake Crystal,DK,-34.8500985,25.902618,http://gilmore.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
