Order Id,Shop Name,Event Name,Event Category,First Event,Last Event,First Name,Last Name,Email,Ticket Name,Barcode,Order Status,Order Invalidated,Order Invalidated At,Ticket Invalidated,Ticket Invalidated At,Created At,Paid Currency,Order Value,Order Fees,Transaction Fees,Ticket Value,Ticket Fees,Optionals Value,Refunded Amount,Payment Method,Coupons,Device,Tracker,Tracker Name,Seat,Is Scanned,First Scanned At,Order Metadata First Name,Order Metadata Last Name,Order Metadata Wrong1,Order Metadata Wrong2,Order Metadata Wrong3,Order Metadata Wrong4,Order Metadata Wrong5,Order Metadata Wrong6,Order Metadata Wrong7,Order Metadata Wrong8,Order Metadata City,Order Metadata Gender,Order Metadata Province,Order Metadata Company,Order Metadata Country,Order Metadata Covid No Symptoms,Order Metadata Age,Order Metadata Wrong9,Order Metadata Wrong10,Order Metadata Wrong11,Order Metadata Wrong12,Order Metadata Wrong13,Order Metadata Wrong14,Order Ticket Metadata First Name,Order Ticket Metadata Last Name,Order Ticket Wrong1,Order Ticket Metadata Email,Order Ticket Metadata Street,Order Ticket Metadata Street Number,Order Ticket Metadata Street Number Additional,Order Ticket Metadata Postal,Order Ticket Metadata Date Of Birth,Order Ticket Metadata State,Order Ticket Metadata City,Order Ticket Metadata Gender,Order Ticket Metadata Province,Order Ticket Metadata Company,Order Ticket Metadata Country,Order Ticket Metadata Covid No Symptoms,Order Ticket Metadata Age,Order Ticket Wrong2,Order Ticket Metadata Phone,Order Ticket Metadata Fullname,Order Ticket Metadata Covid One Household,Order Ticket Metadata Keep Me Informed,Order Ticket Metadata Diet,Geolocation Street Name,Geolocation Street Number,Geolocation Locality,Geolocation Postal Code,Geolocation Sub Locality,Geolocation Admin Level 1,Geolocation Admin Level 2,Geolocation Country Code,Geolocation Latitude,Geolocation Longitude,Ticket Pdf Link
9262c2ed-a35e-4d83-860f-50de886d17c4,Smith-Young,"Hogan, Chavez and Higgins country",television,2023-05-01,Smith Islands,284,Suite 924,27908,2004-12-30,Washington,Keithport,Male,Hawaii,Paul Inc,Tuvalu,True,90,develop,(555)475-3148,Ryan Suarez,True,False,None,Matthew Pine,284,New Stacey,55382,Raystad,Utah,East Samuelport,ER,5.709252,-172.387827,https://www.walker.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95c217aa-f711-4947-8a37-894a13949a55,Mclaughlin PLC,Miller-Villanueva woman,civil,2023-05-08,Mack Cove,549,Apt. 834,56267,2013-06-07,Kansas,North Ryan,Female,Idaho,Clayton Ltd,Pakistan,True,88,spring,001-362-011-2153x12479,Jonathan Alvarado,False,True,Keto,Carly Meadow,549,North Josephside,04409,Danielshire,North Carolina,Daisyside,AG,-64.0858905,-35.827517,https://wright-kelly.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9174ee0c-4cad-4061-a67b-91c855ca2c17,"Hayes, Grant and Patrick","Powers, Summers and Brown spring",add,2023-05-06,Helen Plaza,9890,Suite 864,46151,1923-01-27,Vermont,Elizabethville,Male,Alaska,Duke LLC,Wallis and Futuna,True,18,my,072.377.8915x59148,Ashley Moore,True,False,None,Mark Radial,9890,North Sharontown,52723,Carpenterfort,Florida,North Latoyaville,SK,-13.9981125,88.696491,http://myers-pollard.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ead78395-872d-4699-a153-2eff52547114,Parker-Arnold,Snyder-Jackson wall,example,2023-05-01,Robinson Rapids,534,Suite 015,65648,2012-11-15,Louisiana,Carsonburgh,Female,Mississippi,"Mejia, Chapman and Thomas",Sudan,True,99,treat,546.660.6191x7652,Barbara Trujillo,False,False,Vegetarian,Joshua Lights,534,Martinmouth,36731,Sharonstad,Vermont,Elizabethshire,TT,7.0577745,69.402684,https://johnson.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cc1c3fa-3f38-48a7-a318-a4adc9d05cd4,Lopez-Romero,Greene-Allen so,machine,2023-05-09,Gail Cape,7398,Apt. 327,05419,1930-10-24,Connecticut,South Denise,Male,Pennsylvania,Peterson-Blake,Chile,True,98,ahead,263-584-2247,Lisa Anderson,True,True,None,Mark Views,7398,Jasmineport,11575,West Hannahberg,Idaho,West Jenniferside,UG,63.9737015,88.111709,http://jones.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3e0c950-841d-4972-8d65-e7d8f18e416d,Woods-Lang,Bartlett-Tran consumer,provide,2023-05-06,Bell Squares,5303,Apt. 150,80444,1977-03-15,Florida,Cooperchester,Other,North Dakota,Peterson-Lester,Myanmar,False,75,fill,469.717.7966,Patricia Johnston,False,True,Gluten-free,Ashley Islands,5303,Patriciamouth,86293,New Paul,Montana,East Melanie,LI,-49.8858635,-141.669138,https://bentley.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e61722dd-bb29-4b9b-93c1-8b115191f16d,Jenkins LLC,Cooper-Branch skin,pattern,2023-05-07,Samuel Groves,550,Suite 711,13830,2013-12-15,Wisconsin,Sherichester,Male,Ohio,Woods-Marks,American Samoa,True,56,vote,477-740-9075,Christopher Schmitt,True,False,Vegetarian,Sheila Walk,550,Jeremyburgh,34175,Mikeside,Wisconsin,Jodiside,CM,-82.0230035,-98.439159,https://robbins.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e0f461b-882a-4209-80e1-6b5723222856,"Barton, Day and Harvey",Orozco-Goodwin popular,environmental,2023-05-02,Thompson Bypass,91916,Apt. 092,06508,1985-05-02,Idaho,Owentown,Male,Hawaii,Black Ltd,Dominican Republic,False,56,late,2413671913,Adam Blanchard,False,True,Vegetarian,Charles Lake,91916,Lake Ericmouth,29169,Lake Dennis,Vermont,Port Victoriaville,ML,-28.6323075,-179.241996,http://castro.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbbc67e2-2a61-4e73-a178-48810850abad,Gilbert Group,"Pratt, Schwartz and Peterson appear",case,2023-05-08,Short Stravenue,10547,Suite 325,45633,1972-04-28,Michigan,Olivertown,Female,Hawaii,"Kennedy, Turner and Burns",Mali,True,46,around,849-535-5253x114,Samuel Reyes,True,False,Vegetarian,Joshua Centers,10547,Lake Brittney,94550,Robbinsburgh,Virginia,Murphyhaven,UY,-73.5211245,57.186911,http://thomas.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f1216e5-4941-4b75-88c9-e095ead4680c,Luna and Sons,Rangel-Turner describe,Democrat,2023-05-02,Ramirez Ridges,24815,Suite 181,65596,2002-07-28,Nebraska,Jenniferberg,Other,Hawaii,"Reed, Watkins and Cole",Guam,True,96,into,719-886-8205x697,David Johnson,False,True,Gluten-free,William Valley,24815,North David,28610,Smithfort,North Dakota,Lisaburgh,EG,-86.499835,115.858897,https://www.jones.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
